,fromDate,toDate,name,numberOfTweet,AVGBTCHigh,AVGBTCLow
0,2022-01-01,2022-01-07,@elonmusk,20,54076.221354166664,51875.843098958336
1,2022-01-08,2022-01-14,@elonmusk,23,50309.001302083336,48362.235026041664
2,2022-01-15,2022-01-21,@elonmusk,65,49971.188151041664,47689.959635416664
3,2022-01-22,2022-01-28,@elonmusk,38,43623.471354166664,41052.167317708336
4,2022-01-29,2022-02-04,@elonmusk,67,45353.666666666664,43332.220052083336
5,2022-02-05,2022-02-11,@elonmusk,56,51373.9140625,49264.885416666664
6,2022-02-12,2022-02-18,@elonmusk,36,50461.500651041664,48553.364583333336
7,2022-02-19,2022-02-25,@elonmusk,86,46002.436848958336,43506.276692708336
8,2022-02-26,2022-03-04,@elonmusk,42,49986.186197916664,46765.960286458336
9,2022-03-05,2022-03-11,@elonmusk,14,47082.209635416664,44682.123697916664
10,2022-03-12,2022-03-18,@elonmusk,0,47167.302083333336,45413.20703125
11,2022-03-19,2022-03-25,@elonmusk,0,50193.615234375,48755.617838541664
12,2022-03-26,2022-04-01,@elonmusk,0,54909.34765625,53155.682942708336
